,Description,Division,EndTime,Location,OBJECTID,Recurrence,StartTime,Title,created_date,created_user,last_edited_date,last_edited_user,Simple Location,Latitude,Longitude
467,<div>Contact Officer Mike Smith 704-336-3014 </div>,South Division,2017-08-01T21:00:00.000Z,2739 Creekbed Lane,727,false,2017-08-01T18:00:00.000Z,National Night Out,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"2739+creekbed+lane,+Charlotte,+NC",35.1305397,-80.8562657
468,<div>Contact Officer Mike Smith 704-336-3014</div>,South Division,2017-08-01T21:00:00.000Z,2431 Twilight Rd.,728,false,2017-08-01T18:00:00.000Z,National Night Out,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"2431+twilight+rd,+Charlotte,+NC",35.126701,-80.8573466
469,<div>Contact Officer Mike Smith 704-336-3014</div>,South Division,2017-08-21T19:00:00.000Z,6429 Creola Road,729,false,2017-08-21T18:00:00.000Z,Providence Court Neighborhood Safety Meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"6429+creola+road,+Charlotte,+NC",35.14911379999999,-80.79514569999999
470,"<div>Elizabeth Community Association Annual Meeting &amp; Taste of Elizabeth Dinner<br />Tuesday September 26<br />6:30 pm<br />St. John's Baptist Church, Broach Hall<br />300 Hawthorne Lane (at E 5th Street)<br /></div>",Providence Division,2017-09-26T19:30:00.000Z,"St. John's Baptist Church, Broach Hall 300 Hawthorne Lane ",732,false,2017-09-26T18:30:00.000Z,Elizabeth Community Association Annual Meeting & Taste of Elizabeth Dinner,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"300+hawthorne+lane+,+Charlotte,+NC",35.214054,-80.8233757
471,"<div>Steele Creek Division <br />Response Area 2<br />Officer Cruz - <a href=""mailto:acruz@cmpd.org"">acruz@cmpd.org</a><br />Officer Pressley - <a href=""mailto:gpressley@cmpd.org"">gpressley@cmpd.org</a><br />704-336-8549</div>",Steele Creek Division,2017-08-22T20:00:00.000Z,501 West Arrowood Road - Silver Mount Baptist Church ,733,true,2017-08-22T19:00:00.000Z,Deleted: British Woods Community Meeting ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"501+west+arrowood+road,+Charlotte,+NC",35.133027,-80.89835099999999
472,<div>Contact Officer Beth Jackson 704-336-3014</div>,South Division,2017-09-09T12:00:00.000Z,Park Road Park-Playground 6220 Park Road,735,false,2017-09-09T09:00:00.000Z,Community Corners Event,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"6220+park+road,+Charlotte,+NC",35.1508362,-80.8516585
473,<div>Contact Officer Beth Jackson 704-336-3014</div>,South Division,2017-09-20T10:00:00.000Z,Sharon Presbyterian Church -5201 Sharon Road,737,false,2017-09-20T10:00:00.000Z,Kids Program,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"5201+sharon+road,+Charlotte,+NC",35.1407192,-80.8338757
474,<div>Contact Officer Beth Jackson 704-336-3014</div>,South Division,2017-09-21T19:00:00.000Z,Sharon Presbyterian Church-5201 Sharon Road,738,false,2017-09-21T18:00:00.000Z,Beverly Woods Community Meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"5201+sharon+road,+Charlotte,+NC",35.1407192,-80.8338757
475,<div>National Night Out/Rescheduled</div>,Hickory Grove Division,2017-09-19T20:00:00.000Z,7100 Linda Lake Dr.,739,false,2017-09-19T18:00:00.000Z,Grove Park/Ravenwood NNO,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"7100+linda+lake+dr,+Charlotte,+NC",35.2412646,-80.7238158
476,<div>Annual Meeting/Cookout</div>,Hickory Grove Division,2017-09-24T18:30:00.000Z,6507 Ashdale Pl,740,false,2017-09-24T17:00:00.000Z,Chessington Neighborhood Annual Meeting/Cookout,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"6507+ashdale+pl,+Charlotte,+NC",35.229528,-80.72332569999999
477,"Contact Chief Nina Wright for details
Nina.Wright@cmpd.org",Central Division,2017-09-14T19:00:00.000Z,"Greater Mt. Moriah Primitive Baptist Church, 727 West Trade St",741,false,2017-09-14T18:00:00.000Z,CMPD Chief's Community Forum,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"727+west+trade+st,+Charlotte,+NC",35.232417,-80.84993089999999
478,,North Division,2017-09-07T19:00:00.000Z,"Meeting Place Church, 600 Peachtree Road",742,false,2017-09-07T18:00:00.000Z,CMPD Chief's Community Forum,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"600+peachtree+road,+Charlotte,+NC",35.291129,-80.8893949
479,"For more information, Call Captain Maglione at 704-621-6283",North Division,2017-09-28T20:00:00.000Z,"The Park Church, 6029 Beatties Ford Road",743,false,2017-09-28T18:30:00.000Z,Criminal Investigative Bureau Community Forum,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"6029+beatties+ford+road,+Charlotte,+NC",35.3171196,-80.8657128
480,<div>Church sponsoring a car 'Cruise-In' social get together with patrons and members of the community. Light refreshments.</div>,Independence Division,2017-09-09T12:00:00.000Z,9719 E WT Harris Bv,745,false,2017-09-09T08:00:00.000Z,Tabernacle of Praise Worship Center 'Cruise-In',2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"9719+e+wt+harris+bv,+Charlotte,+NC",35.1890688,-80.728045
481,<div>apartment community safety meeting</div>,Independence Division,2017-09-14T19:00:00.000Z,10510 Waterford Creek Ln,746,false,2017-09-14T18:00:00.000Z,Waterford Creek apartments community meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"10510+waterford+creek+ln,+Charlotte,+NC",35.179584,-80.735804
482,<div>Every Wed evening. Ms. Tiesha Boyd runs a youth group for area&nbsp;youth to help teach them life lessons&nbsp; and fitness. Strong CMPD presence. </div>,Independence Division,2036-10-22T20:00:00.000Z,Albemarle Road Rec Center 5027 Idlewild Rd North,747,true,2017-09-06T18:00:00.000Z,Promise Youth Development ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"5027+idlewild+rd,+Charlotte,+NC",35.1841603,-80.7612711
483,<div>Latino community engagement focusing on exchange of language and culture between CMPD and latino&nbsp;youth and their families.</div>,Hickory Grove Division,2017-11-02T20:00:00.000Z,7424 E WT Harris Bv Hickory Grove Baptist Latino Campus,748,true,2017-09-07T18:00:00.000Z,Kops and Kids,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"7424+e+wt+harris+bv+hickory+grove+baptist+latino+campus,+Charlotte,+NC",35.2220526,-80.7252482
484,<div>apartment safety meeting</div>,Independence Division,2017-09-07T18:30:00.000Z,8242 Runaway Bay Dr ,749,false,2017-09-07T17:30:00.000Z,Runaway Bay apartments safety meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"8242+runaway+bay+dr,+Charlotte,+NC",35.157101,-80.7431189
485,<div>Mexico Independence Day festival</div>,Independence Division,2017-09-10T14:00:00.000Z,McAlpine Park 8711 Monroe Rd,750,false,2017-09-10T11:00:00.000Z,El Grito Festival ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"8711+monroe+rd,+Charlotte,+NC",35.150869,-80.744929
486,<div></div>,Providence Division,2017-09-07T19:00:00.000Z,2024 E. 7th St - Studio K,751,true,2017-09-07T18:30:00.000Z,Deleted: Elizabeth HOA,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"2024+e.+7th+st+-+st,+Charlotte,+NC",35.2116546,-80.8175791
487,"<div>United Central Methodist Church</div>
<div>&nbsp;</div>",CMPD Latino Outreach Unit,2017-09-26T20:00:00.000Z,6030 Albemarle Road,752,false,2017-09-26T18:30:00.000Z,Cops & Kids Latino Mentoring Program,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"6030+albemarle+road,+Charlotte,+NC",35.2019732,-80.7421852
488,<div>United Central Methodist Church</div>,CMPD Latino Outreach Unit,2017-12-05T10:00:00.000Z,6030 Albemarle Road,753,true,2017-10-03T09:00:00.000Z,Cops & Kids Latino Mentoring Program,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"6030+albemarle+road,+Charlotte,+NC",35.2019732,-80.7421852
489,,University City Division,2017-09-23T14:00:00.000Z,Walmart - 7735 N. Tryon,754,false,2017-09-23T11:00:00.000Z,Community Corners - University Division,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"7735+n.+tryon,+Charlotte,+NC",35.2955767,-80.7583346
490,<div>contact Officer James Russell 704-336-3014</div>,South Division,2017-10-15T15:00:00.000Z,5801 Rea Rd (South Library),757,false,2017-10-15T14:00:00.000Z,HOA Meeting Keswick,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"5801+rea+rd,+Charlotte,+NC",35.0865451,-80.8115699
491,<div>contact Officer Beth Jackson 704-336-3014</div>,South Division,2017-10-04T20:00:00.000Z,Amelie's  7715 Pineville-Matthews Rd,758,false,2017-10-04T18:00:00.000Z,Coffee with Cops,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"7715+pineville-matthews+rd,+Charlotte,+NC",35.086284,-80.850639
492,"<div>contact Officer Beth Jackson 704-336-3014</div>
<div>(Special Olympics of NC)d</div>
<div>&nbsp;</div>
<div>11am-2pm</div>
<div>5pm-9pm</div>",South Division,2017-10-21T14:00:00.000Z,Red Robin 3415 Toringdon Way,759,false,2017-10-21T11:00:00.000Z,SONC Tip a Cop,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"3415+toringdon+way,+Charlotte,+NC",35.0688245,-80.8431848
493,"<div>contact Officer Beth Jackson 704-336-3014</div>
<div>(Special Olympics of NC)</div>",South Division,2017-10-21T21:00:00.000Z,Red Robin 3415 Toringdon Way,760,false,2017-10-21T17:00:00.000Z,SONC Tip a Cop,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"3415+toringdon+way,+Charlotte,+NC",35.0688245,-80.8431848
494,"<div>Time yet to be determined-</div>
<div>contact Officer Beth Jackson </div>",South Division,2017-10-27T23:00:00.000Z,Police Academy 1770 Shopton Rd,761,false,2017-10-27T00:00:00.000Z,Trunk or Treat,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"1770+shopton+rd,+Charlotte,+NC",35.1644824,-80.92068730000001
495,<div>Contact Officer Beth Jackson 704-336-3014</div>,South Division,2017-10-28T16:00:00.000Z,Blakeney Shopping Center 9870 Rea Road ,762,false,2017-10-28T13:00:00.000Z,Boo Bash,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"9870+rea+road,+Charlotte,+NC",35.037491,-80.8085729
496,<div></div>,Hickory Grove Division,2017-10-17T21:00:00.000Z,13200 Peacock Lane,764,false,2017-10-17T19:30:00.000Z,Bradfield Farms Neighborhood Watch Meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"13200+peacock+lane,+Charlotte,+NC",35.2514378,-80.6355966
497,<div></div>,Hickory Grove Division,2017-10-17T20:00:00.000Z,4000 N. Sharon Amity Rd,765,false,2017-10-17T18:30:00.000Z,Wilora Lake Neighborhood Watch Meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"4000+n.+sharon+amity+rd,+Charlotte,+NC",35.21463749999999,-80.7549789
498,<div>Event will be held at the YMCA </div>,Hickory Grove Division,2017-09-23T14:00:00.000Z,6824 Democracy Drive,766,false,2017-09-23T10:00:00.000Z,Community Health Fair/CMPD,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"6824+democracy+drive,+Charlotte,+NC",35.1993544,-80.7319224
499,<div>Monthly neighborhood council meeting</div>,North Division,2100-11-23T19:30:00.000Z,9700 Mt Holly- Huntersville Rd,768,true,2017-09-26T19:00:00.000Z, North Division Neighborhood Advisory Council Meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"9700+mt+holly-+huntersville+rd,+Charlotte,+NC",35.358336,-80.8669479
500,<div>Meeting with the North lake Mall business owners/opertors</div>,North Division,2017-10-10T10:00:00.000Z,Suite 237 North Lake Mall,769,false,2017-10-10T09:00:00.000Z,North Division Business Watch meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"237+north+lake+mall,+Charlotte,+NC",35.3526607,-80.85110890000001
501,<div>The Harris Lake Condominium Association is holding a town hall meeting with their homeowners on October 9th.</div>,Hickory Grove Division,2017-10-09T20:30:00.000Z,5832 Harris Grove Ln,770,false,2017-10-09T18:30:00.000Z,Harris Lake Condominium Association Meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"5832+harris+grove+ln,+Charlotte,+NC",35.219332,-80.747096
502,<div>Annual Fall Festival for kids in the Cherry Community </div>,Providence Division,2017-10-31T20:30:00.000Z," Pleasant Hill Baptist Church 517 Baldwin Ave, Charlotte, NC 28204",771,false,2017-10-31T18:30:00.000Z,Fall festival for Cherry Community ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"517+baldwin+ave,+Charlotte,+NC",35.2089685,-80.8320698
503,<div>Annual Halloween Parade for the kids in the Chantilly Community </div>,Providence Division,2017-10-31T17:30:00.000Z,2441 Shenandoah Ave,773,false,2017-10-31T16:30:00.000Z,Maddie Healy's Annual Halloween Parade,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"2441+shenandoah+ave,+Charlotte,+NC",35.2131973,-80.8057034
504,<div>Clement Ave's 3rd Annual Fall Block Party&nbsp;. Live music!</div>,Providence Division,2017-10-14T21:00:00.000Z,700 block of Clement Ave ,776,false,2017-10-14T16:30:00.000Z,Hoodstock - Clement Ave Fall Block Party ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"700+block+of+clement+ave,+Charlotte,+NC",35.2161103,-80.8167583
505,community budget meeting with CMPD update,Independence Division,2017-10-30T19:30:00.000Z,"Levine Senior Center Matthews 1050 Devore Ln, Matthews, NC ",777,false,2017-10-30T18:30:00.000Z,Summerfield Ridge HOA community meeting ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"1050+devore+ln,+Charlotte,+NC",35.1291658,-80.6961383
506,Independence Division On the Table event,Independence Division,2017-10-25T22:00:00.000Z,Cokesbury United Methodist Church 6701 Idlewild Rd,778,false,2017-10-25T20:00:00.000Z,Independence Division On the Table,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"6701+idlewild+rd,+Charlotte,+NC",35.18573800000001,-80.749854
507,Coffee with a Cop Independence Div,Independence Division,2017-10-04T10:30:00.000Z,Mcdonalds 720 Merdian Center Dr,779,false,2017-10-04T08:00:00.000Z,B3 Coffee with a Cop,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"720+merdian+center+dr,+Charlotte,+NC",35.1832647,-80.75938630000002
508,<div></div>,Steele Creek Division,2017-10-26T20:00:00.000Z,13624 Steel Creek Rd,780,false,2017-10-26T18:00:00.000Z,Waterlyn HOA Community event,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"13624+st,+Charlotte,+NC",35.3725449,-77.4297938
509,<div></div>,Steele Creek Division,2017-11-06T19:30:00.000Z,Steele Creek Library (13620 Steele Creek Rd),781,false,2017-11-06T18:30:00.000Z,Neely Glen Annual Meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"13620+st,+Charlotte,+NC",35.3725449,-77.4297938
510,"<div>Sit down and talk with the citizens in the Hickory Grove Division. At the conclusion of our meeting, the citizens are invited to play a round a golf with an officer at a discounted rate.</div>",Hickory Grove Division,2017-10-25T10:00:00.000Z,Larkhaven Golf Club 4801 Camp Stewart Rd,782,false,2017-10-25T09:00:00.000Z,On The Table/Coffee with Cops,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"4801+camp+st,+Charlotte,+NC",34.796119,-80.640349
511,<div>Every Wed evening. Ms. Tiesha Boyd runs a youth group for area&nbsp;youth to help teach them life lessons&nbsp; and fitness. Strong CMPD presence. </div>,Independence Division,2017-10-25T20:00:00.000Z,Albemarle Road Rec Center 5027 Idlewild Rd North,784,true,2017-10-25T18:00:00.000Z,Deleted: Promise Youth Development ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"5027+idlewild+rd,+Charlotte,+NC",35.1841603,-80.7612711
512,crime watch meeting,Independence Division,2017-11-02T19:00:00.000Z,Melrose Clubhouse 4045 Melrose Club Dr,791,false,2017-11-02T19:00:00.000Z,Melrose Crime watch mtng,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"4045+melrose+club+dr,+Charlotte,+NC",35.168643,-80.712901
513,general safety meeting for community senior citizens,Independence Division,2017-11-11T16:00:00.000Z,7841 Idlewild Rd,792,false,2017-11-11T15:00:00.000Z,New Hope Baptist Senior safety meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"7841+idlewild+rd,+Charlotte,+NC",35.1871409,-80.731054
514,kids fair/community service appreciation day event,Independence Division,2017-11-20T12:00:00.000Z,2724 Margaret Wallace RD,793,false,2017-11-20T10:00:00.000Z,Bible Baptist Christian School community service day,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"2724+margaret+wallace+rd,+Charlotte,+NC",35.1599183,-80.7301468
515,apartment meeting,Independence Division,2017-11-01T15:00:00.000Z,8848 Nolley Ct,794,false,2017-11-01T14:00:00.000Z,Sardis Place apartment meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"8848+nolley+ct,+Charlotte,+NC",35.1367583,-80.74028
516,HOA meeting,Independence Division,2017-11-14T19:00:00.000Z,7200 Providence Rd,796,false,2017-11-14T19:00:00.000Z,Providence Commons HOA,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"7200+providence+rd,+Charlotte,+NC",35.1092211,-80.778995
517,3rd Shift Community roll call ,Independence Division,2017-11-14T20:45:00.000Z,9150 Lawyers Rd @ Mcdonalds,798,false,2017-11-14T19:45:00.000Z,Independence Community Roll Call,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"9150+lawyers+rd,+Charlotte,+NC",35.1868699,-80.6897749
518,Coffee with a Cop co-sponsered by McDonalds,Independence Division,2017-11-16T09:00:00.000Z,9150 Lawyers Rd @ Mcdonalds,799,false,2017-11-16T07:00:00.000Z,Independence Coffee with a Cop,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"9150+lawyers+rd,+Charlotte,+NC",35.1868699,-80.6897749
519,<div>Contact Officer Beth Jackson 704-3360-3014</div>,South Division,2017-12-07T21:00:00.000Z,2024 Delpond Lane,800,false,2017-12-07T19:30:00.000Z,Pellyn Grove Community Meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"2024+delpond+lane,+Charlotte,+NC",35.1323933,-80.7943236
520,<div></div>,Providence Division,2017-12-04T20:00:00.000Z,3100 Leroy St,802,true,2017-12-04T19:00:00.000Z,Deleted: Grier Heights Community Meeting ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"3100+leroy+st,+Charlotte,+NC",35.196376,-80.808301
521,<div></div>,Providence Division,2018-01-01T20:00:00.000Z,3100 Leroy St,803,true,2018-01-01T19:00:00.000Z,Deleted: Grier Heights Community Meeting ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"3100+leroy+st,+Charlotte,+NC",35.196376,-80.808301
522,<div>Woodscape townhomes safety meeting</div>,Independence Division,2017-12-11T19:00:00.000Z,8061 Woodscape Dr,804,false,2017-12-11T18:00:00.000Z,Woodscape safety meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"8061+woodscape+dr,+Charlotte,+NC",35.161364,-80.748775
523,<div></div>,Hickory Grove Division,2017-12-07T19:00:00.000Z,Hickory Grove Baptist church 7200 E WT Harris Bv,805,false,2017-12-07T18:00:00.000Z,Kops and Kids ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"7200+e+wt+harris+bv,+Charlotte,+NC",35.2220526,-80.7252482
524,<div>youth contact </div>,Independence Division,2017-12-06T15:00:00.000Z,Cokesbury Church 6701 Idlewild Rd,806,false,2017-12-06T13:30:00.000Z,Promise Youth Coloring with a Cop,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"6701+idlewild+rd,+Charlotte,+NC",35.18573800000001,-80.749854
525,<div>Police Explorers Christmas toy delivery project. Meeting at church to begin deliveries. </div>,Independence Division,2017-12-21T12:00:00.000Z,Cokesbury Church 6701 Idlewild Rd,807,false,2017-12-21T09:00:00.000Z,Explorers Christmas delivery,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"6701+idlewild+rd,+Charlotte,+NC",35.18573800000001,-80.749854
526,event with the kids from the school,Independence Division,2017-12-07T19:00:00.000Z,6701 Monroe Rd,808,false,2017-12-07T18:00:00.000Z,Greenway Park elementary ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"6701+monroe+rd,+Charlotte,+NC",35.1767305,-80.7565655
527,safety talk with the kids,Independence Division,2017-12-11T10:00:00.000Z,2831 N. Sharon Amity Rd,809,false,2017-12-11T10:00:00.000Z,Amity Preschool safety presentation,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"2831+n.+sharon+amity+rd,+Charlotte,+NC",35.198104,-80.76312899999999
528,"<div>Our next Cherry Neighborhood Meeting (sponsored by the Cherry Neighborhood Joint-Leadership Team) will be held in January (5th Monday on January 29, 2018 from 6:30 PM-8:00 PM). </div>",Providence Division,2018-01-29T20:00:00.000Z,517 Baldwin Ave,810,false,2018-01-29T18:30:00.000Z,Cherry Neighborhood Meeting ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"517+baldwin+ave,+Charlotte,+NC",35.2089685,-80.8320698
529,"<div>Chantilly neighborhood meeting is on Tuesday, December 12 at 7pm. Location is TBD.</div>",Providence Division,2017-12-12T20:00:00.000Z,Chantilly Hall - 2101 Shenandoah Ave,811,false,2017-12-12T19:00:00.000Z,Chantilly Neighborhood Meeting ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"2101+shenandoah+ave,+Charlotte,+NC",35.2165897,-80.81195509999999
530,<div></div>,Providence Division,2017-12-06T20:00:00.000Z,735 Colville Rd. ,812,true,2017-12-06T19:00:00.000Z,Deleted: Eastover HOA Board Meeting ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"735+colville+rd,+Charlotte,+NC",35.1916354,-80.8182929
531,"<div>President Pamela May </div>
<div>&nbsp;</div>
<div>*Open to Myers Park residents and speakers on agenda only*</div>
<div><br />&nbsp;</div>",Providence Division,2017-12-19T19:00:00.000Z,Duke Mansion - 400 Hermitage Road ,813,true,2017-12-19T18:00:00.000Z,Deleted: Myers Park Neighborhood Meeting ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"400+hermitage+road,+Charlotte,+NC",35.2015003,-80.8273552
532,<div></div>,Steele Creek Division,2018-01-11T20:00:00.000Z,6210 Old Pineville Rd - Forest Hill Church,814,false,2018-01-11T19:00:00.000Z,Montclaire South HOA Meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"6210+old+pineville+rd,+Charlotte,+NC",35.1552786,-80.87801189999999
533,<div>Officer Hill &amp; Huffman</div>,Steele Creek Division,2018-01-14T16:00:00.000Z,5910 Dixie River Rd,815,false,2018-01-14T14:30:00.000Z,Berewick Annual Meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"5910+dixie+river+rd,+Charlotte,+NC",35.1737774,-80.97873229999999
534,<div>Monthly Community Meeting</div>,Eastway Division,2101-03-19T12:00:00.000Z,"15th Street Church of God (615 E 15th St, Charlotte, NC 28206)",816,true,2018-01-20T11:00:00.000Z,Optimist Park Community Meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"15th+street,+Charlotte,+NC",35.2366597,-80.8311092
535,Neighborhood HOA annual meeting,Independence Division,2018-01-15T19:00:00.000Z,7200 Albemarle Rd,817,false,2018-01-15T19:00:00.000Z,Morris Farms HOA meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"7200+albemarle+rd,+Charlotte,+NC",35.2032958,-80.7211818
536,condo HOA meeting,Independence Division,2018-01-17T17:00:00.000Z,9608 Old Gate Dr,818,false,2018-01-17T16:00:00.000Z,Pheasant Knoll HOA meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"9608+old+gate+dr,+Charlotte,+NC",35.161936,-80.7280959
537,Coffee with a Cop @ McDonalds,Independence Division,2018-01-19T10:00:00.000Z,McDonalds @ 1620 Sardis Rd North,819,false,2018-01-19T07:00:00.000Z,CMPD Coffee with a Cop,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"1620+sardis+rd,+Charlotte,+NC",35.138614,-80.7380932
538,neighborhood community meeting and pancake breakfast,Independence Division,2018-01-27T19:00:00.000Z,Cokesbury United Methodist Church 6701 Idlewild Rd,820,false,2018-01-27T18:00:00.000Z,Easthaven HOA breakfast,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"6701+idlewild+rd,+Charlotte,+NC",35.18573800000001,-80.749854
